"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201501,"4059 HICKORY FAIRWAY DRIVE","WOODSTOCK","GA",30188,34.1593247980001,-84.4416965509999,1,"4059 HICKORY FAIRWAY DRIVE, WOODSTOCK, GA, 30188","Match","Exact","4059 HICKORY FAIRWAY DR, WOODSTOCK, GA, 30188",68844075,"R"
201502,"4059 HWY 63","CLINTON","LA",70722,30.802240774,-90.911407841,2,"4059 HWY 63, CLINTON, LA, 70722","Match","Non_Exact","4059 STATE RTE 63, CLINTON, LA, 70722",75692145,"R"
201503,"4059 N 25TH STREET","MILWAUKEE","WI",53209,43.0910810600001,-87.94469355,3,"4059 N 25TH STREET, MILWAUKEE, WI, 53209","Match","Exact","4059 N 25TH ST, MILWAUKEE, WI, 53209",653036729,"L"
201504,"4059 NOBLEMAN POINT","PEACHTREE CORNERS","GA",30097,33.992194344,-84.2139557409999,4,"4059 NOBLEMAN POINT, PEACHTREE CORNERS, GA, 30097","Match","Exact","4059 NOBLEMAN PT, PEACHTREE CORNERS, GA, 30097",624753418,"R"
201505,"4059 SKYRON DR","DOYLESTOWN","PA",18902,40.3329010900001,-75.119722726,5,"4059 SKYRON DR, DOYLESTOWN, PA, 18902","Match","Exact","4059 SKYRON DR, DOYLESTOWN, PA, 18902",134703531,"L"
201506,"4059 VT RTE 22A","ADDISON","VT",5491,44.1012514060001,-73.2967675089999,6,"4059 VT RTE 22A, ADDISON, VT, 5491","Match","Non_Exact","4059 STATE RTE 22A, ADDISON, VT, 05491",136466695,"R"
201507,"405A EAST FIRST AVENUE","EASLEY","SC",29640,34.8303731940001,-82.596760483,7,"405A EAST FIRST AVENUE, EASLEY, SC, 29640","Match","Exact","405 E 1ST AVE, EASLEY, SC, 29640",26168330,"L"
201508,"405B OMEGA STREET","BELLE CHASSE","LA",70037,29.8261422260001,-90.008362878,8,"405B OMEGA STREET, BELLE CHASSE, LA, 70037","Match","Exact","405 OMEGA ST, BELLE CHASSE, LA, 70037",191939701,"L"
201509,"406  NECK ROAD","BURLINGTON TOWNSHIP","NJ",8016,40.094405486,-74.828322967,9,"406  NECK ROAD, BURLINGTON TOWNSHIP, NJ, 8016","Match","Exact","406 NECK RD, BURLINGTON TOWNSHIP, NJ, 08016",653269478,"R"
201510,"406 1/2 MAIN ST","VICTORIA","TX",77901,NA,NA,10,"406 1/2 MAIN ST, VICTORIA, TX, 77901","Tie",NA,NA,NA,NA
201511,"406 11TH AVE N","NASHVILLE","TN",37203,36.1628232190001,-86.790913689,11,"406 11TH AVE N, NASHVILLE, TN, 37203","Match","Exact","406 11TH AVE N, NASHVILLE, TN, 37203",97186119,"R"
201512,"406 14TH ST NW","CHARLOTTESVILLE","VA",22903,38.0383104640001,-78.49734663,12,"406 14TH ST NW, CHARLOTTESVILLE, VA, 22903","Match","Exact","406 14TH ST NW, CHARLOTTESVILLE, VA, 22903",83369364,"R"
201513,"406 14TH STREET","OAKLAND","CA",94612,37.8039432190001,-122.270113069,13,"406 14TH STREET, OAKLAND, CA, 94612","Match","Exact","406 14TH ST, OAKLAND, CA, 94612",605991832,"R"
201514,"406 161 STREET APT 8D","BRONX","NY",10451,40.824092609,-73.913527936,14,"406 161 STREET APT 8D, BRONX, NY, 10451","Match","Non_Exact","406 E 161ST ST, BRONX, NY, 10451",80300540,"R"
